hour,traffic_volume,day_of_week,hour,day_of_year,is_weekend
1/1/2020 0:00,202,2,0,1,0
1/1/2020 1:00,535,2,1,1,0
1/1/2020 2:00,960,2,2,1,0
1/1/2020 3:00,370,2,3,1,0
1/1/2020 4:00,206,2,4,1,0
1/1/2020 5:00,171,2,5,1,0
1/1/2020 6:00,800,2,6,1,0
1/1/2020 7:00,120,2,7,1,0
1/1/2020 8:00,714,2,8,1,0
1/1/2020 9:00,221,2,9,1,0
1/1/2020 10:00,566,2,10,1,0
1/1/2020 11:00,314,2,11,1,0
1/1/2020 12:00,430,2,12,1,0
1/1/2020 13:00,558,2,13,1,0
1/1/2020 14:00,187,2,14,1,0
1/1/2020 15:00,472,2,15,1,0
1/1/2020 16:00,199,2,16,1,0
1/1/2020 17:00,971,2,17,1,0
1/1/2020 18:00,763,2,18,1,0
1/1/2020 19:00,230,2,19,1,0
1/1/2020 20:00,761,2,20,1,0
1/1/2020 21:00,408,2,21,1,0
1/1/2020 22:00,869,2,22,1,0
1/1/2020 23:00,443,2,23,1,0
1/2/2020 0:00,591,3,0,2,0
1/2/2020 1:00,513,3,1,2,0
1/2/2020 2:00,905,3,2,2,0
1/2/2020 3:00,485,3,3,2,0
1/2/2020 4:00,291,3,4,2,0
1/2/2020 5:00,376,3,5,2,0
1/2/2020 6:00,260,3,6,2,0
1/2/2020 7:00,559,3,7,2,0
1/2/2020 8:00,413,3,8,2,0
1/2/2020 9:00,121,3,9,2,0
1/2/2020 10:00,352,3,10,2,0
1/2/2020 11:00,847,3,11,2,0
1/2/2020 12:00,956,3,12,2,0
1/2/2020 13:00,660,3,13,2,0
1/2/2020 14:00,574,3,14,2,0
1/2/2020 15:00,158,3,15,2,0
1/2/2020 16:00,610,3,16,2,0
1/2/2020 17:00,781,3,17,2,0
1/2/2020 18:00,575,3,18,2,0
1/2/2020 19:00,799,3,19,2,0
1/2/2020 20:00,882,3,20,2,0
1/2/2020 21:00,289,3,21,2,0
1/2/2020 22:00,786,3,22,2,0
1/2/2020 23:00,662,3,23,2,0
1/3/2020 0:00,975,4,0,3,0
1/3/2020 1:00,666,4,1,3,0
1/3/2020 2:00,343,4,2,3,0
1/3/2020 3:00,931,4,3,3,0
1/3/2020 4:00,604,4,4,3,0
1/3/2020 5:00,230,4,5,3,0
1/3/2020 6:00,584,4,6,3,0
1/3/2020 7:00,918,4,7,3,0
1/3/2020 8:00,746,4,8,3,0
1/3/2020 9:00,120,4,9,3,0
1/3/2020 10:00,940,4,10,3,0
1/3/2020 11:00,266,4,11,3,0
1/3/2020 12:00,373,4,12,3,0
1/3/2020 13:00,487,4,13,3,0
1/3/2020 14:00,700,4,14,3,0
1/3/2020 15:00,415,4,15,3,0
1/3/2020 16:00,113,4,16,3,0
1/3/2020 17:00,341,4,17,3,0
1/3/2020 18:00,876,4,18,3,0
1/3/2020 19:00,445,4,19,3,0
1/3/2020 20:00,664,4,20,3,0
1/3/2020 21:00,997,4,21,3,0
1/3/2020 22:00,439,4,22,3,0
1/3/2020 23:00,191,4,23,3,0
1/4/2020 0:00,466,5,0,4,1
1/4/2020 1:00,554,5,1,4,1
1/4/2020 2:00,527,5,2,4,1
1/4/2020 3:00,608,5,3,4,1
1/4/2020 4:00,875,5,4,4,1
1/4/2020 5:00,134,5,5,4,1
1/4/2020 6:00,305,5,6,4,1
1/4/2020 7:00,180,5,7,4,1
1/4/2020 8:00,661,5,8,4,1
1/4/2020 9:00,971,5,9,4,1
1/4/2020 10:00,487,5,10,4,1
1/4/2020 11:00,101,5,11,4,1
1/4/2020 12:00,489,5,12,4,1
1/4/2020 13:00,665,5,13,4,1
1/4/2020 14:00,205,5,14,4,1
1/4/2020 15:00,871,5,15,4,1
1/4/2020 16:00,921,5,16,4,1
1/4/2020 17:00,576,5,17,4,1
1/4/2020 18:00,802,5,18,4,1
1/4/2020 19:00,501,5,19,4,1
1/4/2020 20:00,829,5,20,4,1
1/4/2020 21:00,655,5,21,4,1
1/4/2020 22:00,261,5,22,4,1
1/4/2020 23:00,301,5,23,4,1
1/5/2020 0:00,369,6,0,5,1
1/5/2020 1:00,962,6,1,5,1
1/5/2020 2:00,915,6,2,5,1
1/5/2020 3:00,370,6,3,5,1
1/5/2020 4:00,555,6,4,5,1
1/5/2020 5:00,561,6,5,5,1
1/5/2020 6:00,826,6,6,5,1
1/5/2020 7:00,351,6,7,5,1
1/5/2020 8:00,801,6,8,5,1
1/5/2020 9:00,395,6,9,5,1
1/5/2020 10:00,824,6,10,5,1
1/5/2020 11:00,819,6,11,5,1
1/5/2020 12:00,848,6,12,5,1
1/5/2020 13:00,437,6,13,5,1
1/5/2020 14:00,978,6,14,5,1
1/5/2020 15:00,152,6,15,5,1
1/5/2020 16:00,891,6,16,5,1
1/5/2020 17:00,316,6,17,5,1
1/5/2020 18:00,863,6,18,5,1
1/5/2020 19:00,287,6,19,5,1
1/5/2020 20:00,479,6,20,5,1
1/5/2020 21:00,592,6,21,5,1
1/5/2020 22:00,140,6,22,5,1
1/5/2020 23:00,256,6,23,5,1
1/6/2020 0:00,114,0,0,6,0
1/6/2020 1:00,912,0,1,6,0
1/6/2020 2:00,164,0,2,6,0
1/6/2020 3:00,956,0,3,6,0
1/6/2020 4:00,938,0,4,6,0
1/6/2020 5:00,620,0,5,6,0
1/6/2020 6:00,443,0,6,6,0
1/6/2020 7:00,228,0,7,6,0
1/6/2020 8:00,747,0,8,6,0
1/6/2020 9:00,571,0,9,6,0
1/6/2020 10:00,162,0,10,6,0
1/6/2020 11:00,238,0,11,6,0
1/6/2020 12:00,598,0,12,6,0
1/6/2020 13:00,692,0,13,6,0
1/6/2020 14:00,491,0,14,6,0
1/6/2020 15:00,774,0,15,6,0
1/6/2020 16:00,518,0,16,6,0
1/6/2020 17:00,388,0,17,6,0
1/6/2020 18:00,478,0,18,6,0
1/6/2020 19:00,872,0,19,6,0
